,SP_ID,Int_Name,PA_type,PA_DEF,IUCN_CAT,RealmNr,Biodiversity,Wilderness,ClimateStability,LandUseStability,Size,ClimateProtection
886,324,Réserve de biodiversité projetée de la Rivière-Delay,NA,1,II,5,0.020554362,0.998221382,0.539323194,0.750354943,0.008970743,0.09470309
242,938,Teshekpuk Lake-E. Dease Inlet,KBA,NA,NA,5,0.020339328,0.976393236,0.524107203,0.749919351,0.028144817,0
459,313,parc national Ulittaniujalik,NA,1,II,5,0.019949236,0.999231954,0.544390375,0.75025403,0.016429324,0.066676286
82,160,Thelon Wildlife Sanctuary,NA,1,Ib,5,0.019197386,0.999584232,0.409242437,0.749919351,0.066208287,0.016508052
8,978,Queen Maud Gulf,KBA,NA,NA,5,0.017025914,0.999506585,0.406167361,0.749919351,0.194483917,0
222,451,Torngat Mountains National Park Of Canada,NA,1,II,5,0.015865425,0.996706881,0.613848926,0.750311536,0.030674969,0.00647804
568,303,Parc national Kuururjuaq,NA,1,II,5,0.014071211,0.997231173,0.639365569,0.750318051,0.013738418,0.081887529
428,977,Rasmussen Lowlands,KBA,NA,NA,5,0.011385473,0.997173034,0.514394173,0.749919351,0.017584749,0
1036,326,Réserve de biodiversité projetée de la Rivière-Vachon,NA,1,II,5,0.009479206,0.99948965,0.58655619,0.749921486,0.007855275,0
861,302,Réserve de parc national des Monts-de-Puvirnituq,NA,1,II,5,0.008874974,0.993796369,0.638139899,0.749919351,0.00926132,0
91,159,Banks Island Bird Sanctuary No. 1,NA,1,Ib,5,0.007548279,0.999403334,0.565107661,0.749919351,0.062853483,0
122,988,Great Plain of the Koukdjuak,KBA,NA,NA,5,0.007175685,0.999281327,0.677729659,0.749919351,0.048905326,0
296,982,Boas River and associated wetlands,KBA,NA,NA,5,0.006452533,0.995022741,0.59134071,0.749919351,0.024794313,0
173,461,Aulavik National Park Of Canada,NA,1,II,5,0.005997273,1,0.584721553,0.749919351,0.037945676,NA
272,986,Lancaster Sound Polynya,KBA,NA,NA,5,0.005867679,0.999132213,0.619401445,0.749919351,0.027011845,0
72,470,Sirmilik National Park Of Canada,NA,1,II,5,0.005560877,0.997077133,0.650517673,0.749919351,0.06903507,0
779,983,East Bay/Native Bay,KBA,NA,NA,5,0.005545198,0.97943011,0.653742686,0.749919351,0.010324464,0
95,462,Auyuittuq National Park Of Canada,NA,1,II,5,0.00486857,0.996100075,0.665144786,0.749919351,0.060749814,0
121,979,Foxe Basin Islands,KBA,NA,NA,5,0.00478586,0.998593556,0.690255002,0.749919351,0.048920004,0
990,987,Northwestern Brodeur Peninsula,KBA,NA,NA,5,0.004395022,0.999180875,0.664147262,0.749919351,0.008150939,NA
1048,544,Heden,KBA,NA,NA,5,0.00431762,0.993282323,0.587252773,0.749919351,0.007781069,NA
979,63,Polar Bear Pass National Wildlife Area,NA,1,Ia,5,0.002891252,0.997255114,0.51907186,0.749919351,0.008198441,NA
30,468,Quttinirpaaq National Park Of Canada,NA,1,II,5,0.001837071,0.999528822,0.646009575,NA,0.117787309,NA
1245,976,Coats Island/Cape Pembroke,KBA,NA,NA,5,0.001084385,0.991329307,0.641093305,0.749919351,0.006564149,0
627,126,Ilulissat Isfjord,NA,1,Ib,5,0.000755735,0.943260309,0.643308833,0.749919351,0.012469117,NA
686,1082,Parque Nacional Cayambe-Coca,KBA,NA,NA,6,1,0.666208395,0.918191378,0.744320723,0.011608621,0.556058762
417,510,Talamanca Range-La Amistad Reserves / La Amistad National Park,NA,1,Not Applicable,6,0.992377058,0.706441038,0.5761107,0.729159473,0.018079965,0.404144196
1261,1308,Parque Nacional Sumaco-Napo Galeras,KBA,NA,NA,6,0.912456441,0.699418198,0.919563832,0.735459995,0.006514439,0.622586887
749,1083,Reserva Ecológica Cotacachi-Cayapas,KBA,NA,NA,6,0.900583866,0.697508198,0.76343382,0.752531552,0.010794303,0.598082599
1191,1080,Parque Nacional Llanganates,KBA,NA,NA,6,0.858952708,0.63857182,0.851316528,0.751077019,0.006881998,0.458004009
1272,1284,Farallones de Cali Natural National Park,KBA,NA,NA,6,0.772888682,0.596520263,0.789432756,0.756872332,0.006441677,0.544428878
593,700,Caribbean lowlands and wetlands,KBA,NA,NA,6,0.748430575,0.808288206,0.789303802,0.691415806,0.01306165,0.315927786
1035,532,Sangay National Park,NA,1,Not Applicable,6,0.746531133,0.761962116,0.87268537,0.733149596,0.007863463,0.519753764
725,1351,Abra Patricia - Alto Mayo,KBA,NA,NA,6,0.734893603,0.843454108,0.681705002,0.534075874,0.011149296,0.624811209
112,331,del Manu,NA,1,II,6,0.725464003,0.894431799,0.795540077,0.614083405,0.053201983,0.719773016
1025,1081,Cordillera del Cóndor,KBA,NA,NA,6,0.721516041,0.794974432,0.854132847,0.557987993,0.007917867,0.681244079
669,1315,Sierra de Juárez,KBA,NA,NA,6,0.721350938,0.733099347,0.799136905,0,0.011940569,0.201958684
18,331,Manu Alto Purus,NA,1,II,6,0.703182547,0.926144565,0.708736402,0.649008582,0.13175436,0.74121756
1338,268,Sierra Nevada,NA,1,II,6,0.681007611,0.647621543,0.752389834,0.73080898,0.004808677,0.292502471
263,1074,Río Conambo-Bobonaza,KBA,NA,NA,6,0.66873033,0.868527047,0.903465086,0.714481047,0.027311377,0.697456985
159,NA,Madidi,NA,1,Not Reported,6,0.664116177,0.810631384,0.840428592,0.695392623,0.03996058,0.562886161
1150,1265,Between Balsa Puerto and Moyabamba,KBA,NA,NA,6,0.663117277,0.847409365,0.722125987,0.592734607,0.007088121,0.603867826
796,420,Parque Estadual Da Serra Do Mar,NA,1,II,6,0.661017593,0.551145484,0.971476429,0.583392302,0.010076323,0.320262456
872,1321,Sierra Norte de Oaxaca II,KBA,NA,NA,6,0.659382845,0.76835882,0.775088503,0.0373848,0.009116241,0.205930991
422,233,Darién,NA,1,II,6,0.656083725,0.785835961,0.716396575,0.745119933,0.017793124,0.43483926
41,260,Canaima,NA,1,II,6,0.651890706,0.788039531,0.880189352,0.743017646,0.095008373,0.580466915
195,337,Bahuaja - Sonene,NA,1,II,6,0.63862626,0.829691248,0.852310269,0.670268144,0.034224083,0.583424931
142,336,Cordillera Azul,NA,1,II,6,0.635875166,0.867548352,0.763078489,0.664832773,0.042417162,0.649299734
532,1030,Yungas Inferiores de Carrasco,KBA,NA,NA,6,0.634677749,0.734490571,0.823027386,0.707761453,0.014610471,0.376486778
111,1338,Reserva Comunal El Sira,KBA,NA,NA,6,0.633716901,0.872910731,0.785067542,0.590577853,0.053684981,0.655820106
118,1078,Gran Yasuní,KBA,NA,NA,6,0.622567303,0.899395232,0.844230048,0.730237815,0.051149866,0.725326552
1147,1313,Sierpe Wetlands and Osa Peninsula,KBA,NA,NA,6,0.620128929,0.713379983,0.698982415,0.735895871,0.007117176,0.36991557
1181,1269,Carpish,KBA,NA,NA,6,0.619706086,0.731041266,0.664717625,0.601132364,0.006926993,0.358171345
769,1352,Bosques Secos del Valle del Río Chicamocha,KBA,NA,NA,6,0.616328321,0.612040292,0.852902536,0.765851632,0.010463052,0.384788296
1267,1077,Verde-Ónzole-Cayapas-Canandé,KBA,NA,NA,6,0.612522988,0.73558215,0.628637849,0.755521545,0.006468937,0.475769274
1179,508,Sumapaz,NA,1,II,6,0.61154329,0.589535327,0.863741359,0.779022447,0.006931265,0.425525736
1156,1025,Yungas Superiores de Carrasco,KBA,NA,NA,6,0.607684736,0.715117238,0.822423687,0.726387518,0.007068023,0.287086972
495,1325,Valle de Tehuacán-Cuicatlán,KBA,NA,NA,6,0.607093977,0.704924262,0.794587546,0.329828539,0.015339496,0.136239259
478,509,Paramillo,NA,1,II,6,0.606300513,0.724476167,0.756351313,0.756412375,0.015749439,0.459164508
586,1316,Sierra de las Minas - Motagua,KBA,NA,NA,6,0.605863505,0.719697248,0.756272709,0.527990657,0.01333617,0.250449449
959,1069,Laguna de los Cóndores,KBA,NA,NA,6,0.603668882,0.789641266,0.751507995,0.632316652,0.008368384,0.444758582
1050,760,Tepuis de Roraima,KBA,NA,NA,6,0.600608767,0.749805727,0.782144028,0.736141248,0.007776932,0.489298158
1070,1311,Serranía de los Yariguíes,KBA,NA,NA,6,0.599961206,0.619555595,0.805477497,0.773602473,0.007595186,0.356773078
305,1075,Territorio Achuar,KBA,NA,NA,6,0.599812951,0.883540504,0.899615287,0.694472254,0.024140167,0.70387636
534,696,Guatemalan Caribbean Slope,KBA,NA,NA,6,0.598138279,0.699216333,0.788654636,0.589167633,0.014526192,0.240640567
852,1299,Cuchumatanes,KBA,NA,NA,6,0.596274378,0.764220672,0.793815422,0.551652634,0.009367796,0.305096171
879,1034,Cotapata,KBA,NA,NA,6,0.596254762,0.716699512,0.746540772,0.718883274,0.009053595,0.320665672
839,338,Otishi,NA,1,II,6,0.594110353,0.879109668,0.703021921,0.5047663,0.009583584,0.719690143
474,1320,Sierra Nevada de Santa Marta National Natural Par*,KBA,NA,NA,6,0.592310089,0.682878887,0.570490555,0.759210224,0.015866221,0.366769807
922,1066,Tambopata,KBA,NA,NA,6,0.582622588,0.833374105,0.807960844,0.674170059,0.00869869,0.591236616
782,1013,Yungas Inferiores de Amboró,KBA,NA,NA,6,0.574463817,0.718528043,0.799231218,0.644477268,0.010308873,0.389833757
43,1348,Rio Tacutu,KBA,NA,NA,6,0.57312161,0.594794936,0.859134248,0.738479192,0.093273857,0.194736836
1033,1276,"Cosolapa, Acatlan, Tepexic",KBA,NA,NA,6,0.571135451,0.703013355,0.83490041,0.04486382,0.007869506,0.155557878
1211,1079,Tierras altas de Isabela,KBA,NA,NA,6,0.570838726,0.915511502,0.262082557,0.756909974,0.006766843,0.121620033
1311,684,Golfo de los Mosquitos Forests,KBA,NA,NA,6,0.5658402,0.792673601,0.775919751,0.727862888,0.006303416,0.348395467
368,1310,Río Abiseo National Park buffer zone,KBA,NA,NA,6,0.565328182,0.748811209,0.766685898,0.639796097,0.020203598,0.442256266
1236,1027,Yungas Inferiores de Isiboro-Sécure / Altamachi,KBA,NA,NA,6,0.560689588,0.836313039,0.810203062,0.744628427,0.006620369,0.452373705
621,1017,Yungas Inferiores de Madidi,KBA,NA,NA,6,0.560408791,0.837209591,0.797010725,0.682905222,0.012595171,0.615617416
1331,261,Duida-Marahuaca,NA,1,II,6,0.553545282,0.929639459,0.777991283,0.750084701,0.006113118,0.701667984
692,1026,Yungas Superiores de Mosetenes y Cocapata,KBA,NA,NA,6,0.551351039,0.811991287,0.788955228,0.743863022,0.011534863,0.422390396
993,1008,Yungas Superiores de Madidi,KBA,NA,NA,6,0.548377516,0.78617024,0.780086333,0.687429817,0.008140804,0.575104257
938,318,del Río Abiseo,NA,1,II,6,0.547025096,0.773998936,0.679309681,0.634090515,0.008592902,0.425818944
521,1328,Yungas Superiores de Apolobamba,KBA,NA,NA,6,0.543658042,0.689430789,0.758507905,0.689810593,0.014728092,0.27743312
801,704,Indio Maíz,KBA,NA,NA,6,0.542842743,0.775264037,0.776335533,0.684281441,0.010046381,0.348099661
