"","SP_ID","Int_Name","PA_type","PA_DEF","IUCN_CAT","RealmNr","Biodiversity","Wilderness","ClimateStability","LandUseStability","Area","ClimateProtection"
"367","601","Ferlo South","KBA",NA,NA,"3",0.266793636135251,0.506860986474145,0.70321387719909,0.85653145101216,0.0646482963494174,0.0231211752489949
"376","577","Gamba Protected Areas Complex","KBA",NA,NA,"3",0.488133501552097,0.636237475817311,0.759702317586626,0.858486905874891,0.13312552284771,0.241410001135025
"377","290","Gambella",NA,"1","II","3",0.367028052503005,0.446556121933707,0.744402281386334,0.705441088123582,0.0351155936626684,0.0392931549090482
"381","494","Garamba",NA,"1","II","3",0.620075269248781,0.641946141450153,0.51376080967854,0.815045886981337,0.0421607730320871,0.105545415088262
"384","228","Gashaka-Gumti",NA,"1","II","3",0.555605936094765,0.633756750752297,0.53039836299462,0.795954547434617,0.0534368787597827,0.0889438289490763
"387","69","Gemsbok",NA,"1","Ib","3",0.169206358509622,0.548005919634927,0.625003064910834,0.852717206359033,0.299140725581169,0.00843148830476988
"389","595","Gezira","KBA",NA,NA,"3",0.206189583790652,0.166356329128704,0.566543825372493,0.605642183747062,0.134122889000578,0.0227773816231623
"402","273","Gonarezhou",NA,"1","II","3",0.504714741561747,0.561512823974366,0.658054130202543,0.801743541236715,0.0417329345943332,0.0451533996452799
"408","829","Gorongosa Mountain and National Park","KBA",NA,NA,"3",0.532608766117417,0.531595127846953,0.416724240633813,0.791950052144909,0.0313131538204221,0.0682416659928964
"414","869","Grasslands","KBA",NA,NA,"3",0.469877226090811,0.346450038690161,0.474308096255564,0.961685952655354,0.114197931987286,0.0655097960893843
"421","1084","Greater Addo complex","KBA",NA,NA,"3",0.357777520200674,0.175885695987703,0.718693705935676,0.779570913975033,0.00991363252883799,0.0530287697511881
"422","822","Greater Mahale","KBA",NA,NA,"3",0.479164677235301,0.661711329900068,0.340512483634378,0.419862131667661,0.0886012487027144,0.102238554770561
"423","1243","Grebo","KBA",NA,NA,"3",0.455212021722621,0.637228911743785,0.435156287639959,0.742802734713986,0.0160457307073849,0.132306273014
"434","593","Hadejia-Nguru wetlands","KBA",NA,NA,"3",0.234499043911949,0.439742248536342,0.848304130239298,0.656274943878979,0.0154952161500768,0.0105137587939678
"439","815","Harena-Kokosa","KBA",NA,NA,"3",0.474370120315689,0.803776591037351,0.399799888329783,0.687917992446227,0.00819686744458495,0.0320940166254758
"449","1090","Hluhluwe - Mkhuze lowveld","KBA",NA,NA,"3",0.531188821414993,0.360874010138871,0.492889769922902,0.832795959182139,0.0329000947470535,0.0542922518905487
"462","274","Hwange",NA,"1","II","3",0.445873540180559,0.540649489318349,0.625969377322313,0.787094693651567,0.161629061579993,0.0686817004928825
"468","598","Imatong mountains","KBA",NA,NA,"3",0.637982447569622,0.555096711960912,0.553557897260575,0.664544008030751,0.051687599471811,0.0869445721460268
"475","817","Irangi Forest","KBA",NA,NA,"3",0.729168328704602,0.769717560454205,0.642913706665745,0.63354174251411,0.0282229126394772,0.215427252333913
"479","1260","iSimangaliso Wetland Park","KBA",NA,NA,"3",0.503085387730307,0.368272390070064,0.465852658177016,0.820361129016656,0.0080854295556964,0.0317080782922153
"481","1288","Itombwe Mountains","KBA",NA,NA,"3",0.82208375357292,0.708446874764555,0.529585045198395,0.79911986299581,0.0821816172626223,0.19155715715037
"486","230","Jabal Samhan Nature Reserve",NA,"1","II","3",0.0262631755244797,0.635522780756959,0.249966569369188,0.851783630024878,0.0405873891151836,0.00121634456613734
"499","1329","Jowhar - Warshiikh","KBA",NA,NA,"3",0.233366200705854,0.372207408223641,0.403829146723354,0.837689203439451,0.0101286040141454,0.0054240611658885
"501","175","Kabore-Tambi",NA,"1","II","3",0.287526446027458,0.330975797444595,0.951796408313139,0.672029830963467,0,0.0175712529864426
"503","627","Kafue Flats","KBA",NA,NA,"3",0.471986288606801,0.55802629781546,0.967036869114,0.793610175231476,0.0582966994632714,0.0585819509350197
"504","356","Kafue",NA,"1","II","3",0.492429308651536,0.608894047772336,0.771952870759725,0.819860708117364,0.255185479398832,0.194407890886682
"506","492","Kahuzi-Biega",NA,"1","II","3",0.799450968541187,0.741937060862213,0.79755953624453,0.72827287151247,0.0640467407261506,0.246299632063269
"507","225","Kainji Lake",NA,"1","II","3",0.342834846248865,0.429362056048907,0.897193842194569,0.749699491744982,0.0528898617791864,0.056590255302441
"509","860","Kalahari-Gemsbok National Park","KBA",NA,NA,"3",0.15397247080215,0.446833443297511,0.577182350887155,0.856003001022338,0.0989810752601637,0.00272123613667064
"526","219","Kasungu National Park",NA,"1","II","3",0.482824652882039,0.314775652164213,0.74146692336971,0.703217184832383,0.010364376053748,0.0368295595700507
"527","477","Katavi National Park",NA,"1","II","3",0.45109687323596,0.583392979623943,0.382376827591978,0.24262406395438,0.0330468877238585,0.0552248321540912
"547","220","Khaudum",NA,"1","II","3",0.354406704484778,0.470022244695258,0.411985522644586,0.918254206981459,0.0284821140571951,0.014355755383703
"552","65","Khutse",NA,"1","Ib","3",0.167089491131209,0.562103479759754,0.424642334346319,0.854831338949668,0.0124878799310469,0.0145575665904132
"554","599","Kidepo","KBA",NA,NA,"3",0.604440718024572,0.525681624494285,0.618501897816784,0.682666671461072,0.073970695684706,0.0555769905372039
"556","620","Kilombero Valley","KBA",NA,NA,"3",0.733839098529747,0.895677377699191,0.489797993168693,0.41759723421312,0.0400534323315286,0.0714444803208533
"558","1004","Kirindy Mite National Park and extension","KBA",NA,NA,"3",0.169768814023499,0.520940530046702,0.723333415332279,0.789248554440232,0.00704836140372251,0.0290112473933467
"564","818","Koffole (Arsi) Forest","KBA",NA,NA,"3",0.559603113361156,0.545670372623022,0.61087770681223,0.671980818573162,0.10696173308006,0.0606214686111152
"565","1290","Kokolopori","KBA",NA,NA,"3",0.419328027670414,0.828379543675251,0.509485466982933,0.654298850683294,0.0275089528736135,0.2468730705378
"572","866","Kouga - Baviaanskloof Complex","KBA",NA,NA,"3",0.362869983677246,0.256638454935193,0.610399105099811,0.84693039436956,0.0178787465150739,0.0512997875076299
"573","1247","Kpelle Forest","KBA",NA,NA,"3",0.501519163934096,0.658955081009931,0.572986133524357,0.657868236514667,0.00802615629345289,0.16901524097807
"574","1246","Krahn Bassa South","KBA",NA,NA,"3",0.431886847695349,0.644697937349507,0.590475629686691,0.763924185960622,0.0063243243307854,0.152710201414662
"575","864","Kruger National Park and adjacent areas","KBA",NA,NA,"3",0.643400376084439,0.393389812603107,0.83804624229445,0.831050775699488,0.243128931966174,0.125822181286321
"590","609","Laag Dheere","KBA",NA,NA,"3",0.30189034067522,0.306180709972708,0.566632122861285,0.853895609435274,0.0302979040891836,0.0320147346222306
"604","613","Lake Chad","KBA",NA,NA,"3",0.257614017276943,0.470708882933968,0.509916665830044,0.775124655713797,0.168774878271342,0.0154310411325588
"608","621","Lake Natron and Engaruka basin","KBA",NA,NA,"3",0.711477286677478,0.651345294877584,0.755395665249023,0.534398555627654,0.0090942609640067,0.0241223867483599
"609","622","Lake Rukwa","KBA",NA,NA,"3",0.540319203905882,0.626524804208029,0.429284955777037,0.241607636552246,0.063612193989003,0.0700855882671193
"612","788","Lake Télé Community Reserve","KBA",NA,NA,"3",0.419569151585706,0.800121985306061,0.579744571533736,0.845152590401142,0.0369811240864266,0.180322181337612
"614","583","Lake Turkana","KBA",NA,NA,"3",0.538835224974169,0.578254931784696,0.738598165257988,0.784343741860887,0.0708703196694629,0.0178861179039641
"617","559","LaLuama - Katanga - Mount Kabobo","KBA",NA,NA,"3",0.540684737349726,0.679267195281987,0.34727913654357,0.751681461776411,0.0126362087300104,0.0504902449312868
"624","605","Lascaanod - Taleex - Ceel Chebet","KBA",NA,NA,"3",0.140196754196697,0.548933893822206,0.691530231925368,0.859873400930697,0.0994576776455993,0.00616520567248615
"627","579","Léconi grasslands","KBA",NA,NA,"3",0.429777393177481,0.584942264416579,0.847882469119897,0.841879366939166,0.00962687993927125,0.0541435702246976
"628","564","Léfini Faunal Reserve","KBA",NA,NA,"3",0.465277906720617,0.963945341525432,0.523526300270226,0.845965548657044,0.0399672303326077,0.0844533630731008
"632","1291","Lendu Plateau","KBA",NA,NA,"3",0.798320675013176,0.674768658356008,0.57366361602847,0.588283760322602,0.0318007600948994,0.0584242572903634
"634","1087","Licuati Forests and Eastern Swazi Lebombo","KBA",NA,NA,"3",0.511317570907367,0.522622633652284,0.475121969618907,0.820727466075364,0.00975173013815705,0.0454521430844265
"638","357","Liuwa Plain",NA,"1","II","3",0.393440091393779,0.592177822777434,0.599820078449442,0.825373575152425,0.0211099814664043,0.0234288375319636
"641","481","Lobéké",NA,"1","II","3",0.453536019792521,0.857092664260591,0.261601165736598,0.840307626115953,0.00785425967454628,0.0909439014356548
"643","1241","Lofa-Gola-Mano Complex","KBA",NA,NA,"3",0.540275843272067,0.725072018116303,0.475896264429619,0.587090136640479,0.0351514156218882,0.201040610210445
"644","558","Lomako - Yekokora","KBA",NA,NA,"3",0.320825150097234,0.850119251184471,0.695104702776969,0.70043936936534,0.011309525003203,0.255162032803084
"654","1292","Lower Congo River right bank","KBA",NA,NA,"3",0.499635699612417,0.86634224490773,0.50056998583872,0.841624537783832,0.131337700931331,0.285473610004653
"662","575","Lower Wabi Shebelle river and Warder","KBA",NA,NA,"3",0.237087253120817,0.557339462815147,0.437772605347657,0.896656774202451,0.127862708739668,0.0260890719565996
"663","359","Lower Zambezi",NA,"1","II","3",0.472696690155255,0.547639865126567,0.688525497313773,0.768263786236595,0.0321613269912892,0.0621420081957832
"665","552","Luachimo River (Chitato)","KBA",NA,NA,"3",0.411753724025043,0.673397485472536,0.18865212612515,0.839450491554833,0.0106763219494924,0.0631115582302904
"666","553","Luando Strict Nature Reserve","KBA",NA,NA,"3",0.426939742112395,0.708613552131619,0.392908767808179,0.825930367105352,0.0886288979940873,0.173773951530014
"667","628","Lukanga Swamp","KBA",NA,NA,"3",0.458080684852597,0.655734534318574,1,0.81806660852327,0.0217772312769762,0.0453611597282902
"668","348","Lukusuzi",NA,"1","II","3",0.489183520861389,0.618134063439373,0.799896204191978,0.749992532341457,0.0136011385470346,0.0480329257601923
"671","648","Ma'rib - Naqil Fardah - Baraqish","KBA",NA,NA,"3",0.0486048128151911,0.667599203058959,0.269992788325942,0.868592145607209,0.0414500829374738,0.00213497319334301
